year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state,total_man_by_state,total_woman_by_state
2005,Zacatecas,No especificado,6267,3466,2801,0,0,0
2005,Zacatecas,No recibe ingresos,37098,35080,2018,0,0,0
2006,Aguascalientes,1 salario m¡nimo,2230,2145,85,0,0,0
2006,Aguascalientes,Menos de 1 s.m.,114855,109476,5379,0,0,0
2006,Aguascalientes,M s de 1 hasta 2 s.m.,5224,3877,1347,0,0,0
2006,Aguascalientes,M s de 10 s.m.,289545,140369,149176,0,0,0
2006,Aguascalientes,M s de 2 hasta 3 s.m.,145377,140426,4951,0,0,0
2006,Aguascalientes,M s de 3 hasta 5 s.m.,350759,233644,117115,0,0,0
2006,Aguascalientes,M s de 5 hasta 10 s.m.,60466,47494,12972,0,0,0
2006,Aguascalientes,No especificado,13884,7906,5978,0,0,0
2006,Aguascalientes,No recibe ingresos,63433,58181,5252,0,0,0
2006,Baja California,1 salario m¡nimo,3998,3711,287,0,0,0
2006,Baja California,Menos de 1 s.m.,274203,207565,66638,0,0,0
2006,Baja California,M s de 1 hasta 2 s.m.,28350,23581,4769,0,0,0
2006,Baja California,M s de 10 s.m.,804395,431669,372726,0,0,0
2006,Baja California,M s de 2 hasta 3 s.m.,417166,398572,18594,0,0,0
2006,Baja California,M s de 3 hasta 5 s.m.,1102060,650951,451109,0,0,0
2006,Baja California,M s de 5 hasta 10 s.m.,109644,77152,32492,0,0,0
2006,Baja California,No especificado,42866,27411,15455,0,0,0
2006,Baja California,No recibe ingresos,179639,154500,25139,0,0,0
2006,Baja California Sur,1 salario m¡nimo,5177,5034,143,0,0,0
2006,Baja California Sur,Menos de 1 s.m.,103055,84212,18843,0,0,0
2006,Baja California Sur,M s de 1 hasta 2 s.m.,10652,8288,2364,0,0,0
2006,Baja California Sur,M s de 10 s.m.,166304,84862,81442,0,0,0
2006,Baja California Sur,M s de 2 hasta 3 s.m.,118192,114539,3653,0,0,0
2006,Baja California Sur,M s de 3 hasta 5 s.m.,56452,39466,16986,0,0,0
2006,Baja California Sur,M s de 5 hasta 10 s.m.,25205,19251,5954,0,0,0
2006,Baja California Sur,No especificado,9443,4918,4525,0,0,0
2006,Baja California Sur,No recibe ingresos,42576,38893,3683,0,0,0
2006,Campeche,1 salario m¡nimo,30774,21474,9300,0,0,0
2006,Campeche,Menos de 1 s.m.,245434,231084,14350,0,0,0
2006,Campeche,M s de 1 hasta 2 s.m.,4215,3630,585,0,0,0
2006,Campeche,M s de 10 s.m.,201293,87468,113825,0,0,0
2006,Campeche,M s de 2 hasta 3 s.m.,128728,120909,7819,0,0,0
2006,Campeche,M s de 3 hasta 5 s.m.,133213,67003,66210,0,0,0
2006,Campeche,M s de 5 hasta 10 s.m.,13654,10461,3193,0,0,0
2006,Campeche,No especificado,9744,6818,2926,0,0,0
2006,Campeche,No recibe ingresos,46970,44396,2574,0,0,0
2006,Chiapas,1 salario m¡nimo,2959,2959,0,0,0,0
2006,Chiapas,Menos de 1 s.m.,2577604,2460586,117018,0,0,0
2006,Chiapas,M s de 1 hasta 2 s.m.,24902,20289,4613,0,0,0
2006,Chiapas,M s de 10 s.m.,858564,316632,541932,0,0,0
2006,Chiapas,M s de 2 hasta 3 s.m.,464367,454252,10115,0,0,0
2006,Chiapas,M s de 3 hasta 5 s.m.,501461,265287,236174,0,0,0
2006,Chiapas,M s de 5 hasta 10 s.m.,126599,105286,21313,0,0,0
2006,Chiapas,No especificado,21694,12485,9209,0,0,0
2006,Chiapas,No recibe ingresos,202509,193253,9256,0,0,0
2006,Chihuahua,1 salario m¡nimo,6997,6344,653,0,0,0
2006,Chihuahua,Menos de 1 s.m.,519289,497422,21867,0,0,0
2006,Chihuahua,M s de 1 hasta 2 s.m.,31754,29504,2250,0,0,0
2006,Chihuahua,M s de 10 s.m.,833379,449715,383664,0,0,0
2006,Chihuahua,M s de 2 hasta 3 s.m.,418655,402714,15941,0,0,0
2006,Chihuahua,M s de 3 hasta 5 s.m.,1337460,840146,497314,0,0,0
2006,Chihuahua,M s de 5 hasta 10 s.m.,110698,74014,36684,0,0,0
2006,Chihuahua,No especificado,48274,26805,21469,0,0,0
2006,Chihuahua,No recibe ingresos,153899,139959,13940,0,0,0
2006,Ciudad de Mxico,1 salario m¡nimo,7712,5427,2285,0,0,0
2006,Ciudad de Mxico,Menos de 1 s.m.,79582,68010,11572,0,0,0
2006,Ciudad de Mxico,M s de 1 hasta 2 s.m.,89123,73440,15683,0,0,0
2006,Ciudad de Mxico,M s de 10 s.m.,2821687,1456787,1364900,0,0,0
