year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state_and_year,total_man_by_state_and_year,total_woman_by_state_and_year,man_percentage_by_state_and_level,woman_percentage_by_state_and_level,rate_level
2017,Sinaloa,M s de 5 hasta 10 s.m.,170486,125343,45143,3211292,2240473,970819,73.521,26.479,0
2017,Sinaloa,No especificado,37519,19204,18315,3211292,2240473,970819,51.185,48.815,0
2017,Sinaloa,No recibe ingresos,153586,141528,12058,3211292,2240473,970819,92.149,7.851,0
2017,Sonora,1 salario m¡nimo,58768,54640,4128,3314106,2226541,1087565,92.976,7.024,0
2017,Sonora,Menos de 1 s.m.,618736,503339,115397,3314106,2226541,1087565,81.35,18.65,0
2017,Sonora,M s de 1 hasta 2 s.m.,46778,41728,5050,3314106,2226541,1087565,89.204,10.796,0
2017,Sonora,M s de 10 s.m.,772298,348520,423778,3314106,2226541,1087565,45.128,54.872,0
2017,Sonora,M s de 2 hasta 3 s.m.,445958,435290,10668,3314106,2226541,1087565,97.608,2.392,0
2017,Sonora,M s de 3 hasta 5 s.m.,974329,522448,451881,3314106,2226541,1087565,53.621,46.379,0
2017,Sonora,M s de 5 hasta 10 s.m.,200382,152006,48376,3314106,2226541,1087565,75.858,24.142,0
2017,Sonora,No especificado,45708,33713,11995,3314106,2226541,1087565,73.757,26.243,0
2017,Sonora,No recibe ingresos,151149,134857,16292,3314106,2226541,1087565,89.221,10.779,0
2017,Tabasco,1 salario m¡nimo,93171,75859,17312,2196339,1681934,514405,81.419,18.581,0
2017,Tabasco,Menos de 1 s.m.,578112,561770,16342,2196339,1681934,514405,97.173,2.827,0
2017,Tabasco,M s de 1 hasta 2 s.m.,16361,13316,3045,2196339,1681934,514405,81.389,18.611,0
2017,Tabasco,M s de 10 s.m.,614960,299469,315491,2196339,1681934,514405,48.697,51.303,0
2017,Tabasco,M s de 2 hasta 3 s.m.,276947,268735,8212,2196339,1681934,514405,97.035,2.965,0
2017,Tabasco,M s de 3 hasta 5 s.m.,322872,200548,122324,2196339,1681934,514405,62.114,37.886,0
2017,Tabasco,M s de 5 hasta 10 s.m.,95786,75233,20553,2196339,1681934,514405,78.543,21.457,0
2017,Tabasco,No especificado,15365,10930,4435,2196339,1681934,514405,71.136,28.864,0
2017,Tabasco,No recibe ingresos,182765,176074,6691,2196339,1681934,514405,96.339,3.661,0
2017,Tamaulipas,1 salario m¡nimo,42782,37917,4865,3844661,2648518,1196143,88.628,11.372,0
2017,Tamaulipas,Menos de 1 s.m.,438878,413986,24892,3844661,2648518,1196143,94.328,5.672,0
2017,Tamaulipas,M s de 1 hasta 2 s.m.,50819,43553,7266,3844661,2648518,1196143,85.702,14.298,0
2017,Tamaulipas,M s de 10 s.m.,975913,428406,547507,3844661,2648518,1196143,43.898,56.102,0
